address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status,scrape_datetime
Eccles Street,3,17,False,20,False,Dublin,2018-03-02 23:25:09,ECCLES STREET,12,"{'lat': 53.359246, 'lng': -6.269779}",CLOSED,02-03-2018 23:27:02
Portobello Harbour,17,13,False,30,False,Dublin,2018-03-02 23:19:33,PORTOBELLO HARBOUR,34,"{'lat': 53.330362, 'lng': -6.265163}",CLOSED,02-03-2018 23:27:02
Mater Hospital,7,33,False,40,False,Dublin,2018-03-02 23:25:49,MATER HOSPITAL,78,"{'lat': 53.359967, 'lng': -6.264828}",CLOSED,02-03-2018 23:27:02
Blessington Street,14,6,True,20,False,Dublin,2018-03-02 23:25:53,BLESSINGTON STREET,2,"{'lat': 53.356769, 'lng': -6.26814}",CLOSED,02-03-2018 23:27:02
James Street,8,32,True,40,False,Dublin,2018-03-02 23:17:12,JAMES STREET,75,"{'lat': 53.343456, 'lng': -6.287409}",CLOSED,02-03-2018 23:27:02
Merrion Square West,13,7,True,20,False,Dublin,2018-03-02 23:20:41,MERRION SQUARE WEST,26,"{'lat': 53.339764, 'lng': -6.251988}",CLOSED,02-03-2018 23:27:02
Convention Centre,36,4,True,40,False,Dublin,2018-03-02 23:18:11,CONVENTION CENTRE,65,"{'lat': 53.34744, 'lng': -6.238523}",CLOSED,02-03-2018 23:27:02
Hardwicke Street,13,3,False,16,False,Dublin,2018-03-02 23:24:04,HARDWICKE STREET,15,"{'lat': 53.355473, 'lng': -6.264423}",CLOSED,02-03-2018 23:27:02
Parkgate Street,8,30,True,38,False,Dublin,2018-03-02 23:25:38,PARKGATE STREET,86,"{'lat': 53.347972, 'lng': -6.291804}",CLOSED,02-03-2018 23:27:02
Smithfield,26,4,False,30,False,Dublin,2018-03-02 23:20:31,SMITHFIELD,35,"{'lat': 53.347692, 'lng': -6.278214}",CLOSED,02-03-2018 23:27:02
Dame Street,13,3,True,16,False,Dublin,2018-03-02 23:21:51,DAME STREET,10,"{'lat': 53.344007, 'lng': -6.266802}",CLOSED,02-03-2018 23:27:02
Heuston Bridge (South),5,20,False,25,False,Dublin,2018-03-02 23:24:31,HEUSTON BRIDGE (SOUTH),100,"{'lat': 53.347106, 'lng': -6.292041}",CLOSED,02-03-2018 23:27:02
